"Reporting starts","Reporting ends","Campaign name",region_id,Region,"Campaign delivery","Ad set budget","Ad set budget type","Amount spent (EUR)","CPC (all) (EUR)","Cost per results","Result indicator","CPM (cost per 1,000 impressions) (EUR)","Cost per lead (EUR)","Purchase ROAS (return on ad spend)",Purchases,Leads,"CTR (link click-through rate)",Reach,Frequency,Impressions,"Link clicks","Clicks (all)","CTR (all)","Checkouts initiated"
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3852,Florida,inactive,5,Daily,19.058875,0.381178,,,33.973039,,,,,7.664884,320,1.753125,561,43,50,8.912656,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3886,Texas,inactive,5,Daily,18.01839,0.25378,,,34.987166,,,,,11.650485,306,1.683007,515,60,71,13.786408,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3847,California,inactive,5,Daily,16.617738,0.386459,,,33.844681,,,,,6.517312,319,1.539185,491,32,43,8.757637,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3881,Pennsylvania,inactive,5,Daily,13.046075,0.420841,,,30.988302,,,,,6.650831,257,1.638132,421,28,31,7.36342,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3878,Ohio,inactive,5,Daily,11.785488,0.318527,,,29.761333,,,,,8.333333,249,1.590361,396,33,37,9.343434,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3875,"New York",inactive,5,Daily,11.135185,0.27838,,,27.494284,,,,,8.148148,259,1.563707,405,33,40,9.876543,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3876,"North Carolina",inactive,5,Daily,10.154729,0.338491,,,31.634669,,,,,8.099688,210,1.528571,321,26,30,9.345794,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3856,Illinois,inactive,5,Daily,8.964174,0.271642,,,30.081122,,,,,8.053691,164,1.817073,298,24,33,11.073826,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3885,Tennessee,inactive,5,Daily,8.65403,0.298415,,,28.75093,,,,,6.976744,189,1.592593,301,21,29,9.634552,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3865,Michigan,inactive,5,Daily,7.403447,0.217748,,,29.973472,,,,,12.145749,153,1.614379,247,30,34,13.765182,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3853,Georgia,inactive,5,Daily,7.223364,0.300973,,,27.257976,,,,,6.037736,162,1.635802,265,16,24,9.056604,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3843,Alabama,inactive,5,Daily,6.943233,0.408425,,,34.716166,,,,,7.5,108,1.851852,200,15,17,8.5,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3860,Kentucky,inactive,5,Daily,6.903215,0.363327,,,30.277257,,,,,6.578947,132,1.727273,228,15,19,8.333333,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3873,"New Jersey",inactive,5,Daily,6.873201,0.298835,,,31.673735,,,,,9.21659,114,1.903509,217,20,23,10.599078,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3857,Indiana,inactive,5,Daily,6.563056,0.386062,,,32.652021,,,,,6.965174,125,1.608,201,14,17,8.457711,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3890,Washington,inactive,5,Daily,5.772688,0.360793,,,37.978211,,,,,8.552632,103,1.475728,152,13,16,10.526316,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3883,"South Carolina",inactive,5,Daily,5.672642,0.333685,,,28.082384,,,,,7.425743,117,1.726496,202,15,17,8.415842,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3889,Virginia,inactive,5,Daily,5.652632,0.269173,,,30.067193,,,,,11.170213,136,1.382353,188,21,21,11.170213,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3879,Oklahoma,inactive,5,Daily,5.552586,0.308477,,,41.437206,,,,,12.686567,80,1.675,134,17,18,13.432836,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3868,Missouri,inactive,5,Daily,5.322478,0.532248,,,26.479992,,,,,3.9801,126,1.595238,201,8,10,4.975124,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3892,Wisconsin,inactive,5,Daily,4.992325,0.332822,,,27.1322,,,,,7.065217,116,1.586207,184,13,15,8.152174,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3858,Iowa,inactive,5,Daily,4.802236,0.436567,,,30.202743,,,,,6.289308,100,1.59,159,10,11,6.918239,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3864,Massachusetts,inactive,5,Daily,4.762218,0.476222,,,30.723984,,,,,7.096774,104,1.490385,155,11,10,6.451613,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3866,Minnesota,inactive,5,Daily,4.602143,0.30681,,,31.095561,,,,,8.783784,93,1.591398,148,13,15,10.135135,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3880,Oregon,inactive,5,Daily,4.55212,0.569015,,,35.843462,,,,,2.362205,88,1.443182,127,3,8,6.299213,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3861,Louisiana,inactive,5,Daily,4.462078,0.55776,,,33.052428,,,,,4.444444,80,1.6875,135,6,8,5.925926,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3867,Mississippi,inactive,5,Daily,3.931831,0.655305,,,34.189834,,,,,4.347826,69,1.666667,115,5,6,5.217391,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3862,Maine,inactive,5,Daily,3.461612,0.576935,,,37.221634,,,,,6.451613,48,1.9375,93,6,6,6.451613,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3845,Arizona,inactive,5,Daily,3.451607,0.345161,,,24.137114,,,,,6.293706,99,1.444444,143,9,10,6.993007,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3846,Arkansas,inactive,5,Daily,3.181481,0.530247,,,26.512346,,,,,5,78,1.538462,120,6,6,5,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3891,"West Virginia",inactive,5,Daily,3.051421,0.339047,,,24.608233,,,,,5.645161,75,1.653333,124,7,9,7.258065,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3848,Colorado,inactive,5,Daily,2.821314,0.470219,,,29.085709,,,,,6.185567,67,1.447761,97,6,6,6.185567,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3863,Maryland,inactive,5,Daily,2.331085,0.291386,,,26.489608,,,,,6.818182,67,1.313433,88,6,8,9.090909,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3849,Connecticut,inactive,5,Daily,2.251048,0.375175,,,27.790719,,,,,6.17284,57,1.421053,81,5,6,7.407407,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3859,Kansas,inactive,5,Daily,2.04095,0.255119,,,26.85461,,,,,9.210526,64,1.1875,76,7,8,10.526316,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3872,"New Hampshire",inactive,5,Daily,1.890881,0.47272,,,35.676991,,,,,7.54717,39,1.358974,53,4,4,7.54717,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3874,"New Mexico",inactive,5,Daily,1.660773,1.660773,,,38.622636,,,,,,27,1.592593,43,,1,2.325581,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3870,Nebraska,inactive,5,Daily,1.61075,0.536917,,,32.215001,,,,,4,34,1.470588,50,2,3,6,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3882,"Rhode Island",inactive,5,Daily,1.490694,0.372674,,,42.591262,,,,,11.428571,23,1.521739,35,4,4,11.428571,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3887,Utah,inactive,5,Daily,1.390648,0,,,21.728868,,,,,,32,2,64,,0,0,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3850,Delaware,inactive,5,Daily,1.390648,0.154516,,,36.595989,,,,,26.315789,19,2,38,10,9,23.684211,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3871,Nevada,inactive,5,Daily,1.260587,0,,,20.665361,,,,,,45,1.355556,61,,0,0,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3869,Montana,inactive,5,Daily,0.960447,0.320149,,,25.958034,,,,,8.108108,23,1.608696,37,3,3,8.108108,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3855,Idaho,inactive,5,Daily,0.930433,0.232608,,,25.146845,,,,,2.702703,28,1.321429,37,1,4,10.810811,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3877,"North Dakota",inactive,5,Daily,0.690321,0.17258,,,23.010715,,,,,10,13,2.307692,30,3,4,13.333333,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3884,"South Dakota",inactive,5,Daily,0.570266,0.570266,,,27.155502,,,,,4.761905,15,1.4,21,1,1,4.761905,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3844,Alaska,inactive,5,Daily,0.500233,0.125058,,,26.328049,,,,,15.789474,11,1.727273,19,3,4,21.052632,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3854,Hawaii,inactive,5,Daily,0.480224,0.240112,,,19.208945,,,,,,18,1.388889,25,,2,8,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3893,Wyoming,inactive,5,Daily,0.400186,0,,,21.062439,,,,,,9,2.111111,19,,0,0,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3888,Vermont,inactive,5,Daily,0.400186,0.200093,,,16.674431,,,,,8.333333,16,1.5,24,2,2,8.333333,
2025-10-05,2025-10-22,"DH - LeadGen - US - Quiz",3851,"Washington, District of Columbia",inactive,5,Daily,0.060028,0,,,30.013976,,,,,,2,1,2,,0,0,
